верховный суд рф;VS
высший арбитажный суд рф;VAS
ас волго-вятского округа;FASVVO
ас восточно-сибирского округа;FASVSO
ас дальневосточного округа;FASDVO
ас западно-сибирского округа;FASZSO
ас московского округа;FASMO
ас поволжского округа;FASPO
ас северо-западного округа;FASSZO
ас северо-кавказкого округа;FASSKO
ас уральского округа;FASUO
ас центрального округа;FASCO
1 арбитражный апелляционный суд;1AAS
2 арбитражный апелляционный суд;2AAS
3 арбитражный апелляционный суд;3AAS
4 арбитражный апелляционный суд;4AAS
5 арбитражный апелляционный суд;5AAS
6 арбитражный апелляционный суд;6AAS
7 арбитражный апелляционный суд;7AAS
8 арбитражный апелляционный суд;8AAS
9 арбитражный апелляционный суд;9AAS
10 арбитражный апелляционный суд;10AAS
11 арбитражный апелляционный суд;11AAS
12 арбитражный апелляционный суд;12AAS
13 арбитражный апелляционный суд;13AAS
14 арбитражный апелляционный суд;14AAS
15 арбитражный апелляционный суд;15AAS
16 арбитражный апелляционный суд;16AAS
17 арбитражный апелляционный суд;17AAS
18 арбитражный апелляционный суд;18AAS
19 арбитражный апелляционный суд;190AAS
20 арбитражный апелляционный суд;20AAS
21 арбитражный апелляционный суд;21AAS
ас алтайского края;ALTAI-KRAI
ас амурской области;AMURAS
ас архангельской области;ARHANGELSK
ас астраханской области;ASTRAHAN
ас белгородской области;BELGOROD
ас брянской области;BRYANSK
ас владимирской области;VLADIMIR
ас волгоградской области;VOLGOGRAD
ас вологодской области;VOLOGDA
ас воронежской области;VORONEJ
ас города москвы;MSK
ас города санкт-петербурга и ленинградской области;SPB
ас города севастополя;SEVASTOPOL
ас еврейской автономной области;EAO
ас забайкальского края;CHITA
ас ивановской области;IVANOVO
ас иркутской области;IRKUTSK
ас кабардино-балкарской республики;ASKB
ас калининградской области;KALININGRAD
ас калужской области;KALUGA
ас камчатского края;KAMCHATKA
ас карачаево-черкесской республики;ASKCHR
ас кемеровской области;KEMEROVO
ас кировской области;KIROV
ас коми-пермяцкого ао;KOMI-PERM
ас костромской области;KOSTROMA
ас краснодарского края;KRASNODAR
ас красноярского края;KRANSOYARSK
ас курганской области;KURGAN
ас курской области;KURSK
ас липецкой области;LIPETSK
ас магаданской области;MAGADAN
ас московской области;ASMO
ас мурманской области;MURMANSK
ас нижегородской области;NNOV
ас новгородской области;NOVGOROD
ас новосибирской области;NOVOSIB
ас омской области;OMSK
ас оренбургской области;ORENBURG
ас орловской области;OREL
ас пензенской области;PENZA
ас пермского края;PERM
ас приморского края;PRIMKRAY
ас псковской края;PSKOV
ас республики адыгея;ADYG
ас республики алтай;ALTAI
ас республики башкортостан;UFA
ас республики бурятия;BURYATIA
ас республики дагестан;MAHACHKALA
ас республики ингушетия;INGUSHETIA
ас республики калмыкия;KALMYK
ас республики карелия;KARELIA
ас республики коми;KOMI
ас республики крым;KRYM
ас республики марий эл;MARI-EL
ас республики мордовия;ASRM
ас республики саха;YAKUTSK
ас республики северная осетия;ALANIA
ас республики татарстан;TATARSTAN
ас республики тыва;TYVA
ас республики хакасия;KHAKASIA
ас ростовской области;ROSTOV
ас рязанской области;RYAZAN
ас самарской области;SAMARA
ас саратовской области;SARATOV
ас сахалинской области;SAKHALIN
ас свердловской области;EKATERINBURG
ас смоленской области;SMOLENSK
ас ставропольского края;STAVROPOL
ас тамбовской области;TAMBOV
ас тверской области;TVER
ас томской области;TOMSK
ас тульской области;TULA
ас тюменьской области;TUMEN
ас удмуртской республики;UDMURTIYA
ас ульяновской области;ULYANOVSK
ас хабаровского края;KHABAROVSK
ас ханты-мансийского ао;HMAO
ас челябинской области;CHEL
ас чеченской республики;CHECHNYA
ас чувашской республики;CHUVASHIA
ас чукотского ао;CHUKOTKA
ас ямало-ненецкого ао;YAMAL
ас ярославской области;YAROSLAVL
псп арбитражного суда пермского края;KUDIMKAR
суд по интелектуальным правам;SIP
псп арбитражный суд архангельской области;SIP
